anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	तत्र	3	तत्रापश्यत्स्थितान्पार्थः	तत्र{अव्य}	तत्र{अव्य}	अधिकरणम्,2.1	विशेषणम्,19.1#अधिकरणम्,2.1#अधिकरणम्,2.1	उन	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a37	01	026-027	1	#FF99FF	assets/graphs/01_026-027_1.svg
2.1	अपश्यत्	21	-	दृश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,4.1;सकर्मकः.1	अभिहित_कर्ता,4.1;सकर्मकः.1	देखा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a38	01	026-027	1	#FF1975	assets/graphs/01_026-027_1.svg
3.1	स्थितान्	4	-	स्थित{पुं;2;बहु}	स्था1{कृत्_प्रत्ययः:क्त;ष्ठा;भ्वादिः;पुं;2;बहु}	विशेषणम्,16.1	विशेषणम्,16.1	स्थित	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a39	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
4.1	पार्थः	2	-	पार्थ{पुं;1;एक}	पार्थ{पुं;1;एक}	कर्ता,2.1	कर्ता,2.1	पृथापुत्र_अर्जुन_ने	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a3a	01	026-027	1	#00BFFF	assets/graphs/01_026-027_1.svg
5.1	पितॄन्	5	पितॄनथ	पितृ{पुं;2;बहु}	पितृ{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	ताऊ-चाचों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a3b	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
6.1	अथ	1	-	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,2.1	सम्बन्धः,5.1#सम्बन्धः,2.1	इसके_बाद	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a3c	01	026-027	1	#FF99FF	assets/graphs/01_026-027_1.svg
7.1	पितामहान्	6	पितामहान्	पितामह{पुं;2;बहु}	पितामह{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	दादों-परदादों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a3d	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
8.1	आचार्यान्	7	आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा	आचार्य{पुं;2;बहु}	आचार्य{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	गुरुओं_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a3e	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
9.1	मातुलान्	8	-	मातुल{पुं;2;बहु}	मातुल{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	मामाओं_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a3f	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
10.1	भ्रातॄन्	9	-	भ्रातृ{पुं;2;बहु}	भ्रातृ{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	भाइयों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a40	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
11.1	पुत्रान्	10	-	पुत्र{पुं;2;बहु}	पुत्र{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	पुत्रों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a41	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
12.1	पौत्रान्	11	-	पौत्र{पुं;2;बहु}	पौत्र{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	पौत्रों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a42	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
13.1	सखीन्	12	-	सखि{पुं;2;बहु}	सखि{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	मित्रों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a43	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
14.1	तथा	13	-	तथा{अव्य}	तथा{अव्य}	सम्बन्धः,13.1	सम्बन्धः,13.1	तथा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a44	01	026-027	1	#FF99FF	assets/graphs/01_026-027_1.svg
15.1	श्वशुरान्	14	श्वशुरान्सुहृदश्चैव	श्वशुर{पुं;2;बहु}	श्वशुर{पुं;2;बहु}	समुच्चितः,16.1	समुच्चितः,16.1	ससुरों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a45	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
16.1	सुहृदः	15	-	सुहृद्{पुं;1;बहु}/सुहृद्{पुं;2;बहु}/सुहृद्{पुं;5;एक}/सुहृद्{पुं;6;एक}/सुहृद्{स्त्री;1;बहु}/सुहृद्{स्त्री;2;बहु}/सुहृद्{स्त्री;5;एक}/सुहृद्{स्त्री;6;एक}/सुहृद{पुं;1;एक}	सुहृद्{पुं;2;बहु}	कर्म,2.1	कर्म,2.1	सुहृदों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a46	01	026-027	1	#93DB70	assets/graphs/01_026-027_1.svg
17.1	च	16	-	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,16.1	समुच्चय_द्योतकः,16.1	और	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a47	01	026-027	1	#FF99FF	assets/graphs/01_026-027_1.svg
18.1	एव	17	-	एव{अव्य}	एव{अव्य}	सम्बन्धः,17.1	सम्बन्धः,20.1#सम्बन्धः,17.1	ही	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a48	01	026-027	1	#FF99FF	assets/graphs/01_026-027_1.svg
19.1	सेनयोः	20	सेनयोरुभयोरपि	सेना{स्त्री;6;द्वि}/सेना{स्त्री;7;द्वि}	सेना{स्त्री;6;द्वि}	षष्ठीसम्बन्धः,16.1	अधिकरणम्,3.1#षष्ठीसम्बन्धः,16.1	सेनाओं_में	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a49	01	026-027	1	#87CEEB	assets/graphs/01_026-027_1.svg
20.1	उभयोः	18	-	उभ{पुं;6;द्वि}/उभ{पुं;7;द्वि}/उभ{नपुं;6;द्वि}/उभ{नपुं;7;द्वि}/उभ{पुं;6;द्वि}/उभ{पुं;7;द्वि}/उभ{नपुं;6;द्वि}/उभ{नपुं;7;द्वि}/उभा{स्त्री;6;द्वि}/उभा{स्त्री;7;द्वि}/उभा{स्त्री;6;द्वि}/उभा{स्त्री;7;द्वि}	उभा{स्त्री;6;द्वि}	विशेषणम्,19.1	विशेषणम्,19.1	दोनों	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a4a	01	026-027	1	#87CEEB	assets/graphs/01_026-027_1.svg
21.1	अपि	19	-	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,20.1	सम्बन्धः,16.1#सम्बन्धः,20.1	भी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a4b	01	026-027	1	#FF99FF	assets/graphs/01_026-027_1.svg
