anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	तान्	1	तान्समीक्ष्य	तद्{पुं;2;बहु}	तद्{पुं;2;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	उन	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a4c	01	027_2-028	1	#93DB70	assets/graphs/01_027_2-028_1.svg
2.1	समीक्ष्य	5	-	सम्_ईक्ष्1{कृत्_प्रत्ययः:ल्यप्;ईक्षँ;भ्वादिः}	सम्_ईक्ष्1{कृत्_प्रत्ययः:ल्यप्;सम्_ईक्षँ;भ्वादिः}	पूर्वकालः,13.1	पूर्वकालः,13.1	देखकर	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a4d	01	027_2-028	1	#FF99FF	assets/graphs/01_027_2-028_1.svg
3.1	सः	6	स	तद्{पुं;1;एक}	तद्{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	वे	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a4e	01	027_2-028	1	#00BFFF	assets/graphs/01_027_2-028_1.svg
4.1	कौन्तेयः	7	कौन्तेयः	कौन्तेय{पुं;1;एक}	कौन्तेय{पुं;1;एक}	कर्ता,13.1	कर्ता,13.1	कुन्तीपुत्र_अर्जुन	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a4f	01	027_2-028	1	#00BFFF	assets/graphs/01_027_2-028_1.svg
5.1	सर्वान्	3	सर्वान्बन्धूनवस्थितान्	सर्व{पुं;2;बहु}	सर्व{पुं;2;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	सम्पूर्ण	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a50	01	027_2-028	1	#93DB70	assets/graphs/01_027_2-028_1.svg
6.1	बन्धून्	4	-	बन्धु{पुं;2;बहु}	बन्धु{पुं;2;बहु}	कर्म,2.1	कर्म,2.1	बन्धुओं_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a51	01	027_2-028	1	#93DB70	assets/graphs/01_027_2-028_1.svg
7.1	अवस्थितान्	2	-	अवस्थित{पुं;2;बहु}	अव_स्था1{कृत्_प्रत्ययः:क्त;अव_ष्ठा;भ्वादिः;पुं;2;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	उपस्थित	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a52	01	027_2-028	1	#93DB70	assets/graphs/01_027_2-028_1.svg
8.1	कृपया	9	कृपया	कृपा{स्त्री;3;एक}	कृपा{स्त्री;3;एक}	क्रियाविशेषणम्,10.1	क्रियाविशेषणम्,10.1	करुणा_से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a53	01	027_2-028	1	#40E0D0	assets/graphs/01_027_2-028_1.svg
9.1	परया	8	परयाविष्टो	परा{स्त्री;3;एक}/परा{स्त्री;3;एक}	परा{स्त्री;3;एक}	विशेषणम्,8.1	विशेषणम्,8.1	अत्यन्त	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a54	01	027_2-028	1	#40E0D0	assets/graphs/01_027_2-028_1.svg
10.1	आविष्टः	10	-	आविष्ट{पुं;1;एक}	आङ्_विष्2{कृत्_प्रत्ययः:क्त;आङ्_विषॢँ;जुहोत्यादिः;पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	युक्त_होकर	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a55	01	027_2-028	1	#00BFFF	assets/graphs/01_027_2-028_1.svg
11.1	विषीदन्	11	विषीदन्निदमब्रवीत्	विषीदन्	वि_सद्1{कृत्_प्रत्ययः:शतृ;वि_षदॢँ;भ्वादिः;पुं}{1;एक}	वर्तमानसमानकालः,13.1	वर्तमानसमानकालः,13.1	शोक_करते_हुए	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a56	01	027_2-028	1	#00BFFF	assets/graphs/01_027_2-028_1.svg
12.1	इदम्	12	-	इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक}	इदम्{नपुं}{2;एक}	कर्म,13.1	कर्म,13.1	यह_(वचन)	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a57	01	027_2-028	1	#93DB70	assets/graphs/01_027_2-028_1.svg
13.1	अब्रवीत्	13	-	ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः}	ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः}	अभिहित_कर्ता,4.1;सकर्मकः.1	अभिहित_कर्ता,4.1;सकर्मकः.1	बोले	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a58	01	027_2-028	1	#FF1975	assets/graphs/01_027_2-028_1.svg
