index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	धर्म-	2	धर्मक्षेत्रे	धर्मन्	धर्मन्	षष्ठी-तत्पुरुषः,1.2	षष्ठी-तत्पुरुषः,1.2	CP	धर्मभूमि_में	in_the_place_of_pilgrimage	<धर्म-क्षेत्रे>T6	-
1.2	क्षेत्रे			क्षेत्र{नपुं;1;द्वि}/क्षेत्र{नपुं;2;द्वि}/क्षेत्र{नपुं;7;एक}	क्षेत्र{नपुं;7;एक}	विशेषणम्,2.2	विशेषणम्,2.2	N7				-
2.1	कुरु-	3	कुरुक्षेत्रे	कुरु	कुरु	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP	कुरुक्षेत्र_में	in_the_place_named_Kuruksetra	<कुरु-क्षेत्रे>T6	-
2.2	क्षेत्रे			क्षेत्र{नपुं;1;द्वि}/क्षेत्र{नपुं;2;द्वि}/क्षेत्र{नपुं;7;एक}	क्षेत्र{नपुं;7;एक}	अधिकरणम्,9.1	अधिकरणम्,9.1	N7				-
3.1	समवेताः	4	समवेता	समवेत{पुं;1;बहु}/समवेता{स्त्री;1;बहु}/समवेता{स्त्री;2;बहु}	समवेत{पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	एकत्रित	assembled	-	-
4.1	युयुत्सवः	5	युयुत्सवः	युयुत्सु{पुं;1;बहु}	युयुत्सु{पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	युद्ध_की_इच्छावाले	eager_to_fight	-	-
5.1	मामकाः	6	मामकाः	मामक{पुं;1;बहु}	मामक{पुं;1;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	N1	मेरे	my_(sons)	-	-
6.1	पाण्डवाः	7	पाण्डवाश्चैव	पाण्डव{पुं;1;बहु}	पाण्डव{पुं;1;बहु}	कर्ता,9.1	कर्ता,9.1	N1	पाण्डु_के_पुत्रों_ने	the_sons_of_Pandu	-	-
7.1	च	8		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.1	समुच्चय_द्योतकः,6.1	NA	और	and	-	-
7.1.1	एव	9		एव{अव्य}	एव{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	वहि	certainly	-	-
8.1	किम्	10	किमकुर्वत	किम्{नपुं;1;एक}/किम्{नपुं;2;एक}	किम्{नपुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	क्या	what	-	-
